id,home_team_win
0,True
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,False
9,False
10,True
11,True
12,True
13,True
14,True
15,True
16,False
17,True
18,True
19,True
20,False
21,True
22,True
23,False
24,True
25,True
26,True
27,True
28,False
29,False
30,True
31,True
32,True
33,False
34,False
35,False
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,False
45,True
46,True
47,True
48,True
49,True
50,False
51,True
52,True
53,False
54,True
55,False
56,False
57,False
58,True
59,True
60,False
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,False
70,False
71,True
72,False
73,True
74,False
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,False
83,False
84,False
85,True
86,False
87,False
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,False
99,True
100,True
101,False
102,False
103,True
104,True
105,False
106,True
107,False
108,True
109,False
110,False
111,True
112,False
113,True
114,False
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,False
123,True
124,False
125,False
126,True
127,False
128,True
129,True
130,False
131,True
132,False
133,True
134,True
135,False
136,True
137,False
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,False
146,False
147,True
148,True
149,False
150,True
151,False
152,True
153,True
154,True
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,False
164,True
165,False
166,True
167,True
168,True
169,True
170,True
171,True
172,True
173,True
174,False
175,False
176,True
177,True
178,True
179,False
180,True
181,True
182,True
183,True
184,True
185,True
186,False
187,True
188,True
189,True
190,False
191,True
192,True
193,False
194,True
195,True
196,False
197,True
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,False
213,True
214,True
215,False
216,True
217,True
218,True
219,False
220,True
221,False
222,True
223,False
224,True
225,False
226,True
227,True
228,True
229,False
230,True
231,False
232,False
233,False
234,True
235,True
236,True
237,False
238,True
239,False
240,True
241,False
242,True
243,True
244,True
245,False
246,True
247,True
248,True
249,True
250,True
251,True
252,False
253,True
254,True
255,False
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,False
265,False
266,True
267,True
268,True
269,True
270,False
271,False
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,False
282,True
283,True
284,True
285,False
286,True
287,True
288,True
289,True
290,True
291,False
292,True
293,True
294,True
295,False
296,True
297,False
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,False
307,True
308,False
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,True
319,True
320,True
321,True
322,True
323,True
324,True
325,True
326,True
327,True
328,True
329,True
330,True
331,False
332,False
333,False
334,True
335,False
336,True
337,False
338,False
339,False
340,True
341,True
342,False
343,True
344,True
345,True
346,True
347,False
348,True
349,True
350,True
351,True
352,False
353,False
354,True
355,True
356,True
357,True
358,False
359,True
360,True
361,True
362,True
363,False
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,False
373,True
374,True
375,True
376,True
377,True
378,True
379,True
380,True
381,False
382,True
383,True
384,True
385,False
386,True
387,True
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,False
397,True
398,True
399,True
400,True
401,True
402,True
403,True
404,True
405,True
406,False
407,True
408,False
409,False
410,True
411,True
412,False
413,True
414,True
415,True
416,True
417,True
418,False
419,True
420,True
421,True
422,True
423,True
424,True
425,False
426,False
427,False
428,False
429,False
430,False
431,False
432,True
433,True
434,True
435,True
436,True
437,True
438,False
439,False
440,True
441,False
442,False
443,True
444,True
445,True
446,True
447,False
448,True
449,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,True
462,True
463,False
464,True
465,True
466,True
467,True
468,False
469,True
470,True
471,True
472,True
473,False
474,True
475,True
476,True
477,False
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,False
486,False
487,True
488,True
489,False
490,True
491,True
492,True
493,True
494,False
495,False
496,True
497,True
498,True
499,False
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,False
510,True
511,True
512,False
513,False
514,False
515,True
516,True
517,True
518,False
519,True
520,False
521,True
522,True
523,False
524,False
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,False
533,True
534,True
535,False
536,False
537,True
538,False
539,True
540,False
541,True
542,True
543,False
544,True
545,True
546,True
547,True
548,False
549,True
550,False
551,True
552,True
553,False
554,True
555,False
556,True
557,True
558,True
559,True
560,True
561,False
562,True
563,True
564,True
565,True
566,False
567,True
568,False
569,True
570,True
571,True
572,True
573,False
574,False
575,True
576,True
577,True
578,False
579,True
580,True
581,False
582,True
583,True
584,True
585,False
586,False
587,True
588,False
589,True
590,True
591,True
592,True
593,True
594,True
595,False
596,False
